UF,Município,Foco,Registro,Protocolo,COBRADE,Status,População,DH_Mortos,DH_Feridos,DH_Enfermos,DH_Desabrigados,DH_Desalojados,DH_Desaparecidos,DH_Outros Afetados,DM_Unidades Habitacionais Danificadas,DM_Unidades Habitacionais Destruídas,DM_Unidades Habitacionais Valor,DM_Instalações públicas de saúde Danificadas,DM_Instalações públicas de saúde Destruídas,DM_Instalações públicas de saúde Valor,DM_Instalações públicas de ensino Danificadas,DM_Instalações públicas de ensino Destruídas,DM_Instalações públicas de ensino Valor,DM_Instalações públicas prestadoras de outros serviços Danificadas,DM_Instalações públicas prestadoras de outros serviços Destruídas,DM_Instalações públicas prestadoras de outros serviços Valor,DM_Instalações públicas de uso comunitário Danificadas,DM_Instalações públicas de uso comunitário Destruídas,DM_Instalações públicas de uso comunitário Valor,DM_Obras de infraestrutura pública Danificadas,DM_Obras de infraestrutura pública Destruídas,DM_Obras de infraestrutura pública Valor,DA_Poluição ou contaminação da água,DA_Poluição ou contaminação do ar,DA_Poluição ou contaminação do solo,DA_Diminuição ou exaurimento hídrico,"DA_Incêndios em parques, APA's ou APP's","PEPL_Assistência médica, saúde pública e atendimento de emergências médicas (R$)",PEPL_Abastecimento de água potável (R$),PEPL_Esgoto de águas pluviais e sistema de esgotos sanitários (R$),PEPL_Sistema de limpeza urbana e de recolhimento e destinação do lixo (R$),PEPL_Sistema de desinfestação/desinfecção do habitat/controle de pragas e vetores (R$),PEPL_Geração e distribuição de energia elétrica (R$),PEPL_Telecomunicações (R$),"PEPL_Transportes locais, regionais e de longo curso (R$)","PEPL_Distribuição de combustíveis, especialmente os de uso doméstico (R$)",PEPL_Segurança pública (R$),PEPL_Ensino (R$),PEPR_Agricultura (R$),PEPR_Pecuária (R$),PEPR_Indústria (R$),PEPR_Comércio (R$),PEPR_Serviços (R$),,Franco da Rocha,Vizinhas
SP,Maracaí,Tirar da analise,01/02/2022,SP-F-3528809-13214-20220129,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Não reconhecido,13344,0,0,0,0,29,0,69,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,750000.0,0,0,0.0,,,,,,0.0,0.0,0.0,4445.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
SP,Mauá,Tirar da analise,23/02/2023,SP-F-3529401-13214-20230222,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,417281,1,4,0,5,200,0,3000,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,8,10,"2,52E+16",,,,,,,,,,,,,,,,,,,,,,,,
SP,Mirandópolis,Tirar da analise,28/12/2023,SP-F-3530102-12200-20231223,12200 - Enxurradas,Reconhecido,27475,0,0,0,0,0,0,3841,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1300000.0,,,,,,,,,,,,,,,,,,,,,,,,
SP,Mirante do Paranapanema,Tirar da analise,27/02/2020,SP-F-3530201-13214-20200226,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,17064,0,0,0,0,0,0,700,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1970793.36,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
SP,Mogi das Cruzes,Tirar da analise,09/02/2023,SP-F-3530607-13214-20230203,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,387241,0,0,0,30,2350,0,67830,800,0,3200000.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,15,0,6928659.45,,,,,,,,,,,,,,,,,,,,,,,,
SP,Mombuca,Tirar da analise,02/02/2022,SP-F-3530904-13214-20220130,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,3266,0,0,0,0,60,0,30,20,0,31500.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,43,0,3100000.0,,,,,,0.0,0.0,300000.0,0.0,0.0,0.0,0.0,2800000.0,0.0,0.0,0.0,300000.0,300000.0,0.0,0.0,0.0,,,
SP,Mombuca,Tirar da analise,24/01/2023,SP-F-3530904-13214-20230121,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,3266,0,0,0,0,0,0,790,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,8,2,4500000.0,,,,,,,,,,,,,,,,,,,,,,,,
SP,Mongaguá,Tirar da analise,09/03/2020,SP-F-3531100-12300-20200302,12300 - Alagamentos,Registro,46310,0,0,0,131,271,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,MAIS DE 20%,,,,,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
SP,Mongaguá,Tirar da analise,12/03/2024,SP-F-3531100-13214-20240307,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,46310,0,0,0,136,182,0,61633,103,0,3090000.0,4,0,440000.0,1,0,180000.0,2,0,280000.0,5,0,2819000.0,1,0,140000.0,,,,,,,,,,,,,,,,,,,,,,,,
SP,Monte Mor,Tirar da analise,29/12/2022,SP-F-3531803-13214-20221228,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,48971,0,0,0,240,1200,0,58332,303,3,180000.0,1,0,150000.0,3,0,0.0,1,0,10000.0,1,0,100000.0,28,3,"1,76E+11",,,,,,0.0,0.0,0.0,2000000.0,0.0,0.0,0.0,500000.0,0.0,0.0,0.0,500000.0,0.0,500000.0,500000.0,500000.0,,,
SP,Monte Mor,Tirar da analise,31/01/2022,SP-F-3531803-13214-20220131,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,48971,0,0,0,20,150,0,10000,200,0,500000.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,5,1,8500000.0,,,,,,0.0,0.0,0.0,1500000.0,0.0,0.0,0.0,500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
SP,Monte Mor,Tirar da analise,31/01/2022,SP-F-3531803-12300-20220130,12300 - Alagamentos,Registro,48971,0,0,0,20,150,0,10000,200,0,2000000.0,0,0,0.0,0,0,0.0,1,0,50000.0,8,3,150000.0,5,1,6000000.0,,,,,,0.0,0.0,0.0,1500000.0,0.0,0.0,0.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
SP,Monte Mor,Tirar da analise,31/01/2022,SP-F-3531803-12200-20220130,12200 - Enxurradas,Registro,48971,0,0,0,20,150,0,0,100,0,500000.0,0,0,0.0,0,0,0.0,0,0,0.0,8,1,1000000.0,5,1,4500000.0,,,,,,0.0,0.0,0.0,1500000.0,0.0,0.0,0.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
